Make,Model,Variant,Sub_variant,start_month,start_year,end_month,end_year
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN F/L (2018-2020),5DR 1.6L SX (PETROL) (05.2018-03.2020),5,2018,3,2020
HYUNDAI,CRETA,HYUNDAI CRETA 1ST GEN F/L (2018-2020),5DR 1.6L SX AT (PETROL) (05.2018-03.2020),5,2018,3,2020
HYUNDAI,CRETA,HYUNDAI CRETA 2ND GEN (2020-NOW),5DR 1.4L DCT (PETROL) (03.2020 -NOW),3,2020,NOW,NOW
HYUNDAI,CRETA,HYUNDAI CRETA 2ND GEN (2020-NOW),5DR 1.5L (DIESEL) (03.2020-NOW),3,2020,NOW,NOW
HYUNDAI,CRETA,HYUNDAI CRETA 2ND GEN (2020-NOW),5DR 1.5L (PETROL) (03.2020 -NOW),3,2020,NOW,NOW
HYUNDAI,CRETA,HYUNDAI CRETA 2ND GEN (2020-NOW),5DR 1.5L AT (DIESEL) (03.2020 -NOW),3,2020,NOW,NOW
HYUNDAI,CRETA,HYUNDAI CRETA 2ND GEN (2020-NOW),5DR 1.5L CVT (PETROL) (03.2020 -NOW),3,2020,NOW,NOW
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 3RD GEN (2004-2007),4DR 1.8L (PETROL) (01.04.2004-28.02.2007),4,2004,2,2007
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 3RD GEN (2004-2007),4DR 2.0L (DIESEL) (01.04.2004-28.02.2007),4,2004,2,2007
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 1.6L (DIESEL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 1.6L SX (DIESEL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 1.6L SX (O) AT (DIESEL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 2.0L (PETROL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 2.0L S (PETROL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 2.0L SX (AT) (PETROL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN (2016-2019),4DR 2.0L SX (PETROL) (08.2016-10.2019),8,2016,10,2019
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN F/L (2019-NOW),4DR 2.0L SX AT (PETROL) (10.2019-NOW),10,2019,NOW,NOW
HYUNDAI,ELANTRA,HYUNDAI ELANTRA 6TH GEN F/L (2019-NOW),4DR 2.0L SX(O) AT (PETROL) (10.2019-NOW),10,2019,NOW,NOW
HYUNDAI,EON,HYUNDAI EON (2011-2019),5DR 0.8L (PETROL) (01.2011-09.2019),1,2011,9,2019
HYUNDAI,EON,HYUNDAI EON (2011-2019),5DR 1.0L (PETROL) (01.2011-09.2019),1,2011,9,2019
HYUNDAI,FLUIDIC ELANTRA,HYUNDAI FLUIDIC ELANTRA 5TH GEN (2012-2015),4DR 1.6L (DIESEL) (01.08.2012-12.2015),8,2012,12,2015
HYUNDAI,FLUIDIC ELANTRA,HYUNDAI FLUIDIC ELANTRA 5TH GEN (2012-2015),4DR 1.8L (PETROL) (01.08.2012-12.2015),8,2012,12,2015
HYUNDAI,GETZ,HYUNDAI GETZ 1ST GEN (2004-2007),5DR 1.1L (PETROL) (01.2004-02.2007),1,2004,2,2007
HYUNDAI,GETZ,HYUNDAI GETZ 1ST GEN (2004-2007),5DR 1.3L (PETROL) (01.2004-02.2007),1,2004,2,2007
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.1L (PETROL) (02.02.2007-01.05.2010),2,2007,5,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.1L GLE (PETROL) (01.02.2007-02.03.2010),0,2007,0,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.1L GVS (PETROL) (01.02.2007-02.03.2010),0,2007,0,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.1L GVS OPTION (PETROL) (01.02.2007-02.03.2010),0,2007,0,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.3L (PETROL) (02.01.2007-24.03.2010),1,2007,3,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.3L (PETROL) (02.01.2007-24.03.2010),1,2007,3,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.3L GLS (PETROL) (01.02.2007-02.03.2010),0,2007,0,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.3L GVS (PETROL) (01.02.2007-02.03.2010),0,2007,0,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.5L (DIESEL) (01.02.2007-02.03.2010),2,2007,3,2010
HYUNDAI,GETZ PRIME,HYUNDAI GETZ PRIME 1ST GEN F/L(2007-2010),5DR 1.5L GVS (DIESEL) (01.02.2007-02.03.2010),2,2007,3,2010
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.0L (LPG) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.1L (DIESEL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.1L ASTA (DIESEL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.1L MAGNA (DIESEL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.1L SPORTZ (DIESEL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L (PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L ASTA (AT)(PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L ASTA (PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L ERA (PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L MAGNA (PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L SPORTZ (O) (PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 (2013-2016),5DR 1.2L SPORTZ (PETROL) (01.08.2013-30.11.2016),8,2013,11,2016
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L (DIESEL) (01.12.2016-13.11.2019),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L (PETROL) (01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L ASTA (DIESEL) (01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L ASTA (PETROL) (01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L ERA (DIESEL)(01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L ERA (PETROL) (01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L MAGNA (DIESEL) (01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L MAGNA (PETROL) (01.12.2016-13.01.2021),12,2016,11,2019
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L MAGNA AT (PETROL) (01.12.2016-13.01.2021),12,2016,1,2021
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L SPORTZ (DIESEL) (01.12.2016-12.01.2021),12,2016,1,2021
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L SPORTZ (O) (PETROL) (01.12.2016-13.01.2021),12,2016,1,2021
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L SPORTZ (O) AT PETROL (01.12.2016-13.01.2021),12,2016,1,2021
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L SPORTZ (PETROL) (01.12.2016-13.01.2021),12,2016,1,2021
HYUNDAI,GRAND i10,HYUNDAI GRAND i10 F/L (2016-2021),5DR 1.2L SPORTZ(O) (DIESEL) (01.12.2016-13.01.2021),12,2016,1,2021
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.0L TURBO Gdi (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L ASTA (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L ASTA AMT (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L ERA (DIESEL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L MAGNA (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L MAGNA (DIESEL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L MAGNA AMT (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L MAGNA CNG (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L SPORTZ (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L SPORTZ (DIESEL) (08.2019-NOW),8,2019,NOW,NOW
