10101AM162,in507820221022034748,Hyundai,Creta,sx plus,petrol,1591CC
10204AA162,in797620221022040052,Hyundai,Verna,sx,petrol,1591CC
10704AF122,in627620221022041536,Hyundai,i10,magna,petrol,1197CC
10702AH121,in998320221022041728,Hyundai,Grand i10,base,diesel,1120CC
10704AG121,in212020221022050324,Hyundai,Grand i10,asta,diesel,1120CC
10701AG122,in841420221022050721,Hyundai,Grand i10,asta,petrol,1197CC
10205AA161,in797720221022053325,Hyundai,Verna,sx,diesel,1582CC
10204AN162,in420820221022060458,Hyundai,Verna,sx (o),petrol,1591CC
11803BA202,in397220221022062944,Hyundai,Tucson,gl,petrol,1999CC
10701AH112,in586620221022063203,Hyundai,i10,sportz gls,petrol,1086CC
10205AA152,in425920221022063706,Hyundai,Verna,sx,petrol,1497CC
11201AH152,in941320221022065642,Hyundai,Accent,base,petrol,1495CC
10704AE112,in746720221022074236,Hyundai,i10,era,petrol,1086CC
10201AH162,in774620221022084220,Hyundai,Verna,base,petrol,1599CC
10201AJ141,in850520221022091200,Hyundai,Verna,e,diesel,1396CC
10205AA152,in638220221022091745,Hyundai,Verna,sx,petrol,1497CC
10101AM161,in580620221022092035,Hyundai,Creta,sx plus,diesel,1582CC
10702AD122,in543020221022103429,Hyundai,Grand i10,sportz,petrol,1197CC
10103AA152,in622220221022110358,Hyundai,Creta,sx,petrol,1497CC
10903AD122,in409620221022111601,Hyundai,i20,sportz,petrol,1197CC
11401AN121,in901320221022113147,Hyundai,Xcent,sx (o),diesel,1186CC
11402AH121,in358820221023053546,Hyundai,Xcent,base,diesel,1120CC
11001AC122,in266520221023055003,Hyundai,Elite i20,asta (o),petrol,1197CC
10702AG122,in265920221023055827,Hyundai,Grand i10,asta,petrol,1197CC
11402AR122,in819520221023060857,Hyundai,Xcent,s,petrol,1197CC
10702AO122,in339420221023061511,Hyundai,Grand i10,sports optional,petrol,1120CC
10801AD122,in223220221023091249,Hyundai,Grand i10 Nios,sportz,petrol,1197CC
10203AA151,in989120221023094004,Hyundai,Verna,sx,diesel,1493CC
10702AF122,in820720221023110806,Hyundai,Grand i10,magna,petrol,1197CC
10301AQ092,in123520221023133231,Hyundai,Eon,era plus,petrol,814CC
11302BA112,in992020221004081906,Hyundai,Santro,gl,petrol,1086CC
11001AG122,in663520221024051434,Hyundai,Elite i20,asta,petrol,1197CC
10103AT141,in440320221024054511,Hyundai,Creta,e plus,diesel,1396CC
109NoneAH122,in386520221024061004,Hyundai,i20,base,petrol,1197CC
10103AJ162,in793620221024074246,Hyundai,Creta,e,petrol,1591CC
11402AH122,in191320221024074339,Hyundai,Xcent,base,internal_lpg_cng,1197CC
10702AF122,in759620221024081952,Hyundai,Grand i10,magna,petrol,1197CC
1NoneNoneAA162,in121720221024091217,Hyundai,The Next Gen Verna,sx,petrol,1591CC
10301AH092,in670720221024092131,Hyundai,Eon,plus,petrol,814CC
10202AH142,in294620221024092324,Hyundai,Fluidic Verna,base,petrol,1396CC
10202AH161,in124320221024095932,Hyundai,Verna,base,diesel,1599CC
10101AA161,in970820221024100813,Hyundai,Creta,sx,diesel,1582CC
10702AD122,in975520221024102023,Hyundai,Grand i10,sportz,petrol,1197CC
10201AA162,in589120221024105522,Hyundai,Fluidic Verna,sx,petrol,1591CC
10704AH122,in551920221024110959,Hyundai,i10,magna gl,petrol,1197CC
10702AD122,in429220221025035146,Hyundai,Grand i10,sportz,petrol,1197CC
10402AA202,in240920221025043255,Hyundai,Elantra,sx,petrol,1999CC
11001AF122,in512320221025050144,Hyundai,Elite i20,magna,petrol,1197CC
10703AE112,in459720221025052604,Hyundai,i10,era,petrol,1086CC
11001AG141,in920520221025054339,Hyundai,Elite i20,asta,diesel,1396CC
10102AA161,in782320221025061259,Hyundai,Creta,sx,diesel,1582CC
10903AC122,in559020221025065318,Hyundai,I20 (2020),asta(o),petrol,1197CC
12002AH221,in766920221025071655,Hyundai,Santa Fe,base,diesel,2199CC
10902AD141,in450820221025072204,Hyundai,i20,sportz,diesel,1396CC
11401AA122,in638620221025073505,Hyundai,Xcent,sx,petrol,1197CC
10201AB162,in516820221025074239,Hyundai,Fluidic Verna,s option,petrol,1591CC
10101AA162,in922420221025075724,Hyundai,Creta,sx,petrol,1591CC
11302AD112,in479120221030044621,Hyundai,Santro,sportz,petrol,1086CC
10501AR151,in449120221025085456,Hyundai,Venue,s,diesel,1493CC
10402AR202,in291620221025092906,Hyundai,Elantra,s,petrol,1999CC
10301AF092,in605020221025095831,Hyundai,Eon,magna,petrol,814CC
11302AH112,in492220221025081240,Hyundai,Santro,base,petrol,1086CC
10901AD121,in605520221025101410,Hyundai,i20,sportz,diesel,1197CC
10204AN161,in922720221025103732,Hyundai,Verna,sx (o),diesel,1582CC
10501AA141,in470920221026042858,Hyundai,Venue,sx,diesel,1396CC
10203AJ161,in673620221026052742,Hyundai,Verna,e,diesel,1582CC
10301AS092,in605420221026061845,Hyundai,Eon,magna plus,petrol,814CC
10301AH092,in886520221026063230,Hyundai,Eon,era s,petrol,814CC
10704AO122,in389220221026070252,Hyundai,i10,sportz (o),petrol,1197CC
10103AN151,in394420221026073300,Hyundai,Creta,sx (o),diesel,1493CC
10102AJ141,in885620221026081452,Hyundai,Creta,e,diesel,1396CC
10103AN152,in384920221026085359,Hyundai,Creta,sx (o),petrol,1497CC
10704AG122,in974720221026095446,Hyundai,i10,asta,petrol,1197CC
10902AD141,in453120221026100544,Hyundai,i20,sportz,diesel,1396CC
11401AB122,in669720221026104507,Hyundai,Xcent,s option,petrol,1197CC
11302AH112,in794120221026110638,Hyundai,Santro,base,petrol,1086CC
105NoneAN102,in641320221027050436,Hyundai,Venue,sx(o),petrol,998CC
11302AF112,in664020221027052319,Hyundai,Santro,magna,internal_lpg_cng,1086CC
106NoneAR122,in322920221027053126,Hyundai,Aura,s,petrol,1197CC
10702AD122,in890020221027055112,Hyundai,Grand i10,sportz,petrol,1197CC
11302AX112,in308020220523073831,Hyundai,Santro,gls,petrol,1100CC
11302AH112,in357720220601122638,Hyundai,Santro,gl plus,petrol,1086CC
11101AR122,in299420221027071206,Hyundai,Active i20,s,petrol,1197CC
1NoneNoneAH102,in831220221027074110,Hyundai,i20 N Line,base,petrol,998CC
10702AC122,in626620221027074218,Hyundai,Grand i10,asta (o),petrol,1197CC
10203AH151,in502220221027075229,Hyundai,Verna,base,diesel,1493CC
11302AX112,in397720220626085308,Hyundai,Santro,gls,petrol,1086CC
101NoneAI152,in859020221027090639,Hyundai,Creta,ex,petrol,1497CC
10701AF122,in717820221027094308,Hyundai,Grand i10,magna,internal_lpg_cng,1197CC
10301AS092,in717620221027113642,Hyundai,Eon,magna plus,internal_lpg_cng,814CC
10701AG121,in688120221027121546,Hyundai,Grand i10,asta,diesel,1120CC
105NoneAB122,in585620221027123601,Hyundai,Venue,s(o),petrol,1197CC
10204AN161,in246820221027145726,Hyundai,Verna,sx (o),diesel,1591CC
10902AE141,in394820221027151710,Hyundai,i20,era,diesel,1396CC
10501AA151,in415220221027172814,Hyundai,Venue,sx,diesel,1493CC
11001AG141,in196720221027193103,Hyundai,Elite i20,asta,diesel,1396CC
11302AD112,in562620221031061139,Hyundai,Santro,sportz,internal_lpg_cng,1086CC
109NoneAR122,in561320221028042559,Hyundai,i20,s,petrol,1197CC
11001AG122,in892120221028043017,Hyundai,Elite i20,asta,petrol,1197CC
10902AG142,in272020221028043555,Hyundai,i20,asta,petrol,1396CC
109NoneAG141,in805820221028044002,Hyundai,i20,asta,diesel,1396CC
10201AH161,in514520221028051157,Hyundai,Verna,base,diesel,1599CC
109NoneAO141,in696720221028051816,Hyundai,i20,sportz option,diesel,1396CC
11701AU112,in301820221028052235,Hyundai,Getz Prime,gle,petrol,1086CC
10202AH142,in688320221028053023,Hyundai,Verna,base,petrol,1396CC
10702AD122,in106320221028053813,Hyundai,Grand i10,sportz,internal_lpg_cng,1197CC
11001AC122,in218820221028065753,Hyundai,Elite i20,asta(o),petrol,1197CC
10103AA152,in457020221028070123,Hyundai,Creta,sx,petrol,1497CC
10702AD122,in520720221028071736,Hyundai,i10,sportz,petrol,1197CC
10101AN161,in452120221028081030,Hyundai,Creta,sx (o),diesel,1582CC
10702AD121,in920420221028104232,Hyundai,Grand i10,sportz,diesel,1120CC
110NoneAH122,in821120221028104747,Hyundai,Elite i20,sportz plus,petrol,1197CC
11701AV112,in448220221028104822,Hyundai,Getz Prime,gvs,petrol,1086CC
10704AF122,in354220221028111159,Hyundai,i10,magna,petrol,1197CC
